data,day,leaf_rate,stem_rate,seed_rate
0,151,0.012,0.008,0
1,152,0.016,0.012,0
2,153,0.012,0.008,0
3,154,0.016,0.012,0
4,155,0.024,0.016,0
5,156,0.028,0.024,0
6,157,0.02,0.012,0
7,158,0.02,0.016,0
8,159,0.04,0.028,0
9,160,0.028,0.024,0
10,161,0.036,0.028,0
11,162,0.048,0.04,0
12,163,0.064,0.052,0
13,164,0.06,0.052,0
14,165,0.088,0.08,0
15,166,0.088,0.08,0
16,167,0.088,0.084,0
17,168,0.112,0.112,0
18,169,0.116,0.116,0
19,170,0.136,0.14,0
20,171,0.056,0.06,0
21,172,0.068,0.08,0
22,173,0.192,0.212,0
23,174,0.148,0.176,0
24,175,0.144,0.172,0
25,176,0.16,0.196,0
26,177,0.252,0.304,0
27,178,0.184,0.216,0
28,179,0.3,0.352,0
29,180,0.324,0.376,0
30,181,0.116,0.136,0
31,182,0.116,0.132,0
32,183,0.244,0.268,0
33,184,0.32,0.356,0
34,185,0.42,0.464,0
35,186,0.192,0.204,0
36,187,0.44,0.472,0
37,188,0.492,0.52,0
38,189,0.56,0.584,0
39,190,0.536,0.552,0
40,191,0.236,0.24,0
41,192,0.176,0.184,0.004
42,193,0.492,0.528,0.056
43,194,0.496,0.572,0.1
44,195,0.504,0.616,0.164
45,196,0.428,0.556,0.188
46,197,0.088,0.236,0.104
47,198,0.184,0.284,0.144
48,199,0.312,0.516,0.308
49,200,0.204,0.372,0.256
50,201,0.168,0.38,0.292
51,202,0.16,0.412,0.364
52,203,-0.004,0.024,0.02
53,204,0.124,0.464,0.492
54,205,0.04,0.244,0.288
55,206,0.036,0.264,0.328
56,207,-0.036,0,0
57,208,0.044,0.324,0.468
58,209,0.06,0.408,0.644
59,210,0.04,0.344,0.588
60,211,0.032,0.352,0.652
61,212,0.024,0.336,0.68
62,213,0.012,0.304,0.608
63,214,0.016,0.3,0.748
64,215,0.004,0.256,0.804
65,216,-0.008,0.204,0.84
66,217,-0.028,0.132,0.732
67,218,-0.056,0.088,0.74
68,219,-0.1,0.06,0.916
69,220,-0.128,0.024,1.004
70,221,-0.056,0.004,1.02
71,222,-0.072,0.004,0.936
72,223,-0.188,0,0.96
73,224,-0.148,0.004,0.972
74,225,-0.148,0,0.84
75,226,-0.16,0.004,0.752
76,227,-0.252,0,0.956
77,228,-0.184,-0.316,0.172
78,229,-0.3,-0.312,0.352
79,230,-0.324,-0.304,0.188
80,231,0,-0.3,0.856
81,232,-0.232,-0.292,0.636
82,233,-0.24,-0.288,0.296
83,234,0,-0.28,0.472
84,235,-0.32,-0.276,0.788
85,236,-0.424,-0.272,0.644
86,237,-0.188,-0.264,0.7
87,238,-0.444,-0.26,0.552
88,239,-0.492,-0.252,0.568
89,240,-0.56,-0.252,0.448
90,241,-0.532,-0.244,0.216
